login	password	confirmPassword	email	firstName	lastName	address	roles	telegramId
user_0	testpassword	testpassword	user@example.com	Vladimir	Putin	Kremlin	['DETECTIVE']	12346
user_1	testpassword	testpassword	user@example.com	Vladimir	Putin	Kremlin	['DETECTIVE']	12346
user_2	testpassword	testpassword	user@example.com	Vladimir	Putin	Kremlin	['DETECTIVE']	12346
user_3	testpassword	testpassword	user@example.com	Vladimir	Putin	Kremlin	['DETECTIVE']	12346
user_4	testpassword	testpassword	user@example.com	Vladimir	Putin	Kremlin	['DETECTIVE']	12346
user_5	testpassword	testpassword	user@example.com	Vladimir	Putin	Kremlin	['DETECTIVE']	12346
user_6	testpassword	testpassword	user@example.com	Vladimir	Putin	Kremlin	['DETECTIVE']	12346
user_7	testpassword	testpassword	user@example.com	Vladimir	Putin	Kremlin	['DETECTIVE']	12346
user_8	testpassword	testpassword	user@example.com	Vladimir	Putin	Kremlin	['DETECTIVE']	12346
user_9	testpassword	testpassword	user@example.com	Vladimir	Putin	Kremlin	['DETECTIVE']	12346
user_10	testpassword	testpassword	user@example.com	Vladimir	Putin	Kremlin	['DETECTIVE']	12346
user_11	testpassword	testpassword	user@example.com	Vladimir	Putin	Kremlin	['DETECTIVE']	12346
user_12	testpassword	testpassword	user@example.com	Vladimir	Putin	Kremlin	['DETECTIVE']	12346
user_13	testpassword	testpassword	user@example.com	Vladimir	Putin	Kremlin	['DETECTIVE']	12346
user_14	testpassword	testpassword	user@example.com	Vladimir	Putin	Kremlin	['DETECTIVE']	12346
user_15	testpassword	testpassword	user@example.com	Vladimir	Putin	Kremlin	['DETECTIVE']	12346
user_16	testpassword	testpassword	user@example.com	Vladimir	Putin	Kremlin	['DETECTIVE']	12346
user_17	testpassword	testpassword	user@example.com	Vladimir	Putin	Kremlin	['DETECTIVE']	12346
user_18	testpassword	testpassword	user@example.com	Vladimir	Putin	Kremlin	['DETECTIVE']	12346
user_19	testpassword	testpassword	user@example.com	Vladimir	Putin	Kremlin	['DETECTIVE']	12346
user_20	testpassword	testpassword	user@example.com	Vladimir	Putin	Kremlin	['DETECTIVE']	12346
user_21	testpassword	testpassword	user@example.com	Vladimir	Putin	Kremlin	['DETECTIVE']	12346
user_22	testpassword	testpassword	user@example.com	Vladimir	Putin	Kremlin	['DETECTIVE']	12346
user_23	testpassword	testpassword	user@example.com	Vladimir	Putin	Kremlin	['DETECTIVE']	12346
user_24	testpassword	testpassword	user@example.com	Vladimir	Putin	Kremlin	['DETECTIVE']	12346
user_25	testpassword	testpassword	user@example.com	Vladimir	Putin	Kremlin	['DETECTIVE']	12346
user_26	testpassword	testpassword	user@example.com	Vladimir	Putin	Kremlin	['DETECTIVE']	12346
user_27	testpassword	testpassword	user@example.com	Vladimir	Putin	Kremlin	['DETECTIVE']	12346
user_28	testpassword	testpassword	user@example.com	Vladimir	Putin	Kremlin	['DETECTIVE']	12346
user_29	testpassword	testpassword	user@example.com	Vladimir	Putin	Kremlin	['DETECTIVE']	12346
user_30	testpassword	testpassword	user@example.com	Vladimir	Putin	Kremlin	['DETECTIVE']	12346
user_31	testpassword	testpassword	user@example.com	Vladimir	Putin	Kremlin	['DETECTIVE']	12346
user_32	testpassword	testpassword	user@example.com	Vladimir	Putin	Kremlin	['DETECTIVE']	12346
user_33	testpassword	testpassword	user@example.com	Vladimir	Putin	Kremlin	['DETECTIVE']	12346
user_34	testpassword	testpassword	user@example.com	Vladimir	Putin	Kremlin	['DETECTIVE']	12346
user_35	testpassword	testpassword	user@example.com	Vladimir	Putin	Kremlin	['DETECTIVE']	12346
user_36	testpassword	testpassword	user@example.com	Vladimir	Putin	Kremlin	['DETECTIVE']	12346
user_37	testpassword	testpassword	user@example.com	Vladimir	Putin	Kremlin	['DETECTIVE']	12346
user_38	testpassword	testpassword	user@example.com	Vladimir	Putin	Kremlin	['DETECTIVE']	12346
